common_voice_yue_40641358 可惜同嘅人手快閂咗門
common_voice_yue_40653379 奴寵物，都唔錯
common_voice_yue_40653380 仲有啲拍拖分手結婚嗌交嗰啲花生都關我事
common_voice_yue_40653382 我好理解嗰種想成為會喺佢身邊出現嘅任何嘢嘅心情
common_voice_yue_40653385 至少你嗰邊有人陪你
common_voice_yue_40653509 呢啲集體回憶，直程係同生共死添啦
common_voice_yue_40653510 本少爺呢種人成日都會遇到問題
common_voice_yue_40653512 我喺東莞，廣州應該可能仲要開放啲添
common_voice_yue_40653525 只需要裝返個腦？
common_voice_yue_40653526 反正我都冇得揀
common_voice_yue_40653527 香港撩就都係鼻窿加喉嚨
common_voice_yue_40653528 不過唔知使唔使加好友先可以一齊玩
common_voice_yue_40653540 想早瞓到你刷牙都要早啲
common_voice_yue_40653542 大門隨時為你打開
common_voice_yue_40653543 其實係咪有陰謀，想識朋友？
common_voice_yue_39013032 似我哋嗰度嘅
common_voice_yue_39013034 呢個真係超搞笑啊！
common_voice_yue_39013050 你鍾唔鍾意男仔？
common_voice_yue_39013090 你從來都唔參加比賽，係乜嘢驅使你嚟呢度參賽？
common_voice_yue_39013110 輸咗唔好喊，唔好走去搵阿媽求救
common_voice_yue_39013113 所以我就要飲啤酒
common_voice_yue_39013129 都係手寫算數
common_voice_yue_39013130 叫乜嘢名呢
common_voice_yue_39013286 仲係好窮嘅鄉下仔
common_voice_yue_39013334 學校嘅咩問題，講畀阿媽知得唔得？
common_voice_yue_39013335 見到喇，唔該晒
common_voice_yue_39013348 急都唔急嗰一陣
common_voice_yue_39013350 我敢寫包單，你今次唔會作嘔或者暈低
common_voice_yue_39013351 今日唔見阿祁嘅？
common_voice_yue_39013713 手指公，大拇指
common_voice_yue_39013715 群主博覽羣書，博採眾長
common_voice_yue_39013781 事實係，你係君子，人家爛仔
common_voice_yue_39013850 我就係問緊先生住開邊個巿？
common_voice_yue_39013853 我台機可能乜都敏感
common_voice_yue_39013938 做嘢做一半
common_voice_yue_39013955 區分第六聲同第一聲
common_voice_yue_32268688 我記得原來唔係噉樣嘅
common_voice_yue_32268689 不過我開親都唔會理佢嘅語音
common_voice_yue_32268690 唔使驚啲肉變太深色
common_voice_yue_32268704 只要減少老人就可以減少老年癡呆嘅患者數量
common_voice_yue_32268717 咁得意？設置難唔難㗎？
common_voice_yue_32268718 睇下可唔可以申到張新信用卡
common_voice_yue_32268719 睇咗一下成個群，五百人都唔到
common_voice_yue_32268726 哎唷，陰公豬咯
common_voice_yue_32268727 條屎橋你諗嘅？
common_voice_yue_32268730 大部分人只睇到表面
common_voice_yue_32268754 有基礎都好
common_voice_yue_32268775 我想聽下你嘅旁白
common_voice_yue_32268776 從而令到更多人恢復用返原本嘅正確用字規則
common_voice_yue_32268777 實浸晒成間學校啦
common_voice_yue_32268778 其實佢可以轉行去網台
common_voice_yue_32268779 同敵人一齊嗰陣，就冇咩玩唔玩大咗㗎喇，老友
common_voice_yue_32268782 我覺得呢個都係最好嘅佢
common_voice_yue_32268784 呢個社會就係懲罰緊我哋呢啲冇好好讀書嘅人
common_voice_yue_32268786 法國佬都未醒
common_voice_yue_32268787 任何嘢出現喺唔適當嘅地方，就應該搵人處理咗佢
common_voice_yue_32268789 你係咪傻撚咗啊？瞓啦柒頭
common_voice_yue_32268791 唔係話壽終正寢喇咩
common_voice_yue_32268794 你可以唔返㗎
common_voice_yue_32268795 繼續飲啦
common_voice_yue_32268796 所以佢哋嘅關係冇以前咁多激情，穩定咗好多
common_voice_yue_32268798 聖誕咁少假嘅咩？
common_voice_yue_32268800 你以為係我叫佢哋㗇你？
common_voice_yue_32268801 點解你對鞋爛到噉都有嘅？
common_voice_yue_32268802 而家有噉嘅現象㗎啦已經
common_voice_yue_32805463 係咪只要替換原本嘅檔案就得喇？
common_voice_yue_32805494 幾百年後最人多講英語國家變成中國，最多人講華語國家變成美國
common_voice_yue_32805505 我見到你個加友請求啦
common_voice_yue_32805516 唔緊要，我好快會同佢重賽
common_voice_yue_32805519 公說公有理，婆說婆有理
common_voice_yue_36743531 我係以使用者嘅身分去講
common_voice_yue_36743533 佢哋一齊去買隻狗，好得意嗰隻
common_voice_yue_36743558 因為古代嘅新會原住民係瑤人 再加上宋朝末年嗰啲走難落嚟嘅人
common_voice_yue_36743574 有時間你休息下啦，又返工又做嘢唔攰嘅咩
common_voice_yue_36743583 評論員分析金融機構真係分析得好到位
common_voice_yue_36743617 尋日嘅下載量唔係幾大
common_voice_yue_36743628 你想聽好消息定壞消息先？
common_voice_yue_36743632 司前應該係好接近開平
common_voice_yue_36743780 鍵盤不支援嘅
common_voice_yue_31277160 主次不分
common_voice_yue_32332141 我哋計時薪嘅喎？
common_voice_yue_32332143 我覺得你講嘅全部都係流料
common_voice_yue_32332158 係啊，但係唔會聯網嘅
common_voice_yue_32332159 如果以前冇人改變到
common_voice_yue_32332160 英文差吖嘛
common_voice_yue_32332162 啲人都係噉講㗎
common_voice_yue_32332164 同埋我同呢度啲人
common_voice_yue_32356153 具體如果有顎化現象，都可以用國際音標注明
common_voice_yue_32356156 邊境禁區而家只係名義上嘅嘢
common_voice_yue_32356168 呢個衣櫃，你哋死人冧樓都唔可以掟
common_voice_yue_32356170 儘量勸得幾多得幾多
common_voice_yue_32356191 喺呢廿一年間，除咗媽媽冇其他家人
common_voice_yue_32356192 你應該出門轉左，再坐飛機，搭船去學即將滅絕嘅語言
common_voice_yue_32356194 建議你注意下用字
common_voice_yue_32356205 我都係今朝發現嘅
common_voice_yue_32356220 街市有好多鯇魚賣
common_voice_yue_32409130 以及輸入習慣
common_voice_yue_32409131 哦，噉攞嚟自用就冇乜所謂
common_voice_yue_32409132 去東歐旅行先知道，人哋生活水準好過我哋多多聲
common_voice_yue_32409133 都唔係嗰隻字
common_voice_yue_32409149 後生邊個都戇居過，算係不枉
common_voice_yue_32409150 理解能力有問題呀？
common_voice_yue_32409174 如果我冇熱鮮奶，我冇其他辦法瞓着
common_voice_yue_32409176 請問我可否知道人工係幾多？
common_voice_yue_32416949 你係機器人？
common_voice_yue_32416951 我走喇！你哋好煩
common_voice_yue_32416957 都係廣州路線
common_voice_yue_32416959 話時話呢條公式係點嚟嘅呢
common_voice_yue_32416960 之後仲要話人文盲
common_voice_yue_32416961 你哋點截圖㗎？
common_voice_yue_32416966 呢個係一個努力求存，同周圍保持一致嘅故仔
common_voice_yue_32416968 問題係我而家冇項目做
common_voice_yue_32416969 你帶咗邊個返嚟？佢條女？
common_voice_yue_32416971 佢啲料話晒你知咩？個底穿晒你聽？
common_voice_yue_32416973 返去啱先嘅問題
common_voice_yue_32416976 琴晚我睇咗答案
common_voice_yue_32433363 嘩部地鐵真係
common_voice_yue_32587692 靜靜先
common_voice_yue_32648951 當時我最鍾意就係打機，除咗讀書，我其餘時間就係打機
common_voice_yue_32648954 佢係唔係包喺原版入面，唔係另外再裝過嘅？
common_voice_yue_32648956 要有倒車鏡頭
common_voice_yue_32648957 我等下要去開會
common_voice_yue_33196411 豆腐膶我就聽過
common_voice_yue_38881783 瑞典身份都保佢唔住！
common_voice_yue_31938529 有得唔見嘅嘢我都會唔見
common_voice_yue_31938530 我向作者回饋一下
common_voice_yue_31938531 點解有琴聲嘅？
common_voice_yue_31938535 我係唔擔心偷聼嘅，我平時都唔講嘢嘅。又唔中意發語音留言
common_voice_yue_31938537 我部安卓手機用咗兩年就卡到鬼噉
common_voice_yue_31938538 唔使你講我本身都知
common_voice_yue_31938539 我唔識客家話喎
common_voice_yue_31938540 你做乜？
common_voice_yue_31938541 雖然而家淨係得一百幾個條目，但係好快就會充實㗎喇
common_voice_yue_31938547 連生日歌都可以唱到走晒音
common_voice_yue_31938593 新加坡基本都係華人
common_voice_yue_31938594 呢支嘢係乜啊？
common_voice_yue_31938604 問下呢位老友先
common_voice_yue_31938606 幫佢冰敷下啦
common_voice_yue_31938616 粵人講粵語用粵字係天經地義
common_voice_yue_31938617 行啦，執嘢喇，仲等咩啫？
common_voice_yue_31938669 民間多採用快脆規則
common_voice_yue_31938676 例如下面呢句話其實有好多講法
common_voice_yue_31938684 仲有如果你單個字打出嚟佢就梗係淨係可以二選一噉讀出嚟啦
common_voice_yue_31938708 所以我認為唔係而家要人哋睇，係人哋想睇嘅時候可以畀佢睇到
common_voice_yue_31938711 你沖個涼先啦
common_voice_yue_31938714 喺邊度下載啊
common_voice_yue_31938716 我都話我唔肚餓咯
common_voice_yue_31938718 中國人咁搞笑㗎
common_voice_yue_31938723 但如果唔噉做，佢唔會退學㗎
common_voice_yue_31938729 因為佢哋做嘅比較早
common_voice_yue_31938732 同嗰首差唔多
common_voice_yue_31938735 唔使見到我就呆晒嘅
common_voice_yue_31938741 跟住我發現移動啲網仲係差過電信
common_voice_yue_31938743 以前就話入鄉隨俗，而家變成入鄉除族，清除個除
common_voice_yue_31938750 唔好同佢哋打機咪得囉
common_voice_yue_31938754 然後就冇再講過嘢
common_voice_yue_31938755 最討厭就係呢啲愚昧無知嘅人
common_voice_yue_31938757 好似係你嗰邊嘅網絡喎
common_voice_yue_31938758 你話死唔死？
common_voice_yue_34040659 情況噉落去
common_voice_yue_34040703 睇咗多次，似乎明白群主表達嘅意思
common_voice_yue_34040704 例如吳語等漢語，都係好多變調
common_voice_yue_34040738 你想我除晒跟住畀你睇晒？
common_voice_yue_34040768 噉你仲唔支持？照呢個網指示做啦
common_voice_yue_34040773 如果本身網絡速度快，基本上冇乜問題
common_voice_yue_34040821 但係唔肯定佢哋會唔會
common_voice_yue_34040866 你想話你想知嘅字係乜嘢意思先
common_voice_yue_34040869 睇嚟豆瓣係得嘅
common_voice_yue_34040881 態度決定命運
common_voice_yue_34040910 銀晶生意又點會好
common_voice_yue_34040913 只不過係中文譯英文嘅時候就煩啲
common_voice_yue_34040934 梗係！牛肉來㗎！
common_voice_yue_34040949 主要聽到嘅語言都係普通話粵語同英文
common_voice_yue_34040952 蘋果確實冇支援呢個功能
common_voice_yue_34040953 我直情揾你唔到
common_voice_yue_34040999 有個梧州人做嘅系列視頻
common_voice_yue_34041000 畢竟係嶺南地區
common_voice_yue_34041225 個部位會硬啲，但係味道好足，因爲啲牛經常使呢個部位
common_voice_yue_34041227 側埋一邊好易漏汁
common_voice_yue_34041245 搶我哋廣東人嘅飯碗
common_voice_yue_34041267 我最鍾意菠蘿
common_voice_yue_34041288 唔知老師有冇印象
common_voice_yue_34041291 小生今年六十有四
common_voice_yue_34041301 亦都可以嘅
common_voice_yue_34041316 我聽人講，要以毒攻毒先可以戰勝恐懼
common_voice_yue_34041346 我好鍾意你同我傾偈
common_voice_yue_34041348 好難講，佢哋唔會跟風
common_voice_yue_34041370 真係悶到嘔
common_voice_yue_34041371 噉就真係多謝夾盛惠
common_voice_yue_33000561 佢哋同我哋唔係同一個世界嘅人
common_voice_yue_33000667 所以其實我都話，根本解決辦法就係儘快實現一鍵下載部署功能
common_voice_yue_33000674 不過後來嫌佢太貴
common_voice_yue_33000680 就可以加多一個粵拼輸入法
common_voice_yue_33000682 有網址有何用
common_voice_yue_33000699 有錯字你就手動改下囉
common_voice_yue_33000700 老黃，老梁
common_voice_yue_33000709 我重溫緊溏心風暴第一部，再睇埋第二部跟住睇第三部
common_voice_yue_33000712 我用五筆輸入打字好快
common_voice_yue_33000713 上年出現過熒惑守心同太白守月，唔知今年會有咩事發生
common_voice_yue_33000714 呢個輸入法唔支援橫屏嘅咩？
common_voice_yue_33000724 我係睇開咗
common_voice_yue_33000728 呢齣戲好似有撈話
common_voice_yue_33000736 乜嘢自動回覆？
common_voice_yue_33000742 繼續講繼續講，我收聲
common_voice_yue_33000746 牛令樹冇得生長，草先至有機會吸陽光
common_voice_yue_33000748 你呢個係安卓
common_voice_yue_33000750 請問如果回答佢哋嘅話，會唔會對你哋有影響呢？
common_voice_yue_33000756 似乎好耐冇聽過呢種講法
common_voice_yue_33000757 係啊，可以自己開嘅
common_voice_yue_33000760 今日份問卷已填
common_voice_yue_33000763 唔少邊遠山區已經開始出現人相食嘅事情
common_voice_yue_33000764 星加坡被海峽華人掌權控制
common_voice_yue_33000770 平時都冇分咁細
common_voice_yue_33000775 其實我都仲唔係好明白
common_voice_yue_33000777 上日文前練練
common_voice_yue_33000780 個百科有時都幾唔爽
common_voice_yue_33000795 等大家聽下係乜嘢先
common_voice_yue_33000798 鏟咗佢，就聽過
common_voice_yue_40703318 空氣殺手
common_voice_yue_40703319 有得諗，等我搵下先
common_voice_yue_40703321 二嚟落地盤行個圈個頭都濕到塌
common_voice_yue_40703322 話說話基友見到女仔條波罅會唔會有想嘔嘅感覺？
common_voice_yue_40703328 或者探討下生命嘅意義，一齊思考人生
common_voice_yue_40703329 我今日直踩八個鐘
common_voice_yue_40703330 呢樣得你先可以做到
common_voice_yue_40703331 公司同事上司從來冇派過開工利是
common_voice_yue_40703332 但有個出名嘅治療師講過
common_voice_yue_40703333 今朝五點半起身返工
common_voice_yue_40703334 所以冇事嘅
common_voice_yue_40703336 出去搗亂搞到大家都唔幸福
common_voice_yue_40703337 都話我係善良小天使
common_voice_yue_40703342 我都想睇
common_voice_yue_40703345 我要溝仔
common_voice_yue_40703347 好似係台灣嘅講法，引入嘅
common_voice_yue_40703413 你嗰陣係新生定咩？
common_voice_yue_40703414 個幾張紙，一睇就知係咩嚟
common_voice_yue_40703415 邊講住電話邊畫眼線
common_voice_yue_40703416 直接媽叉佢
common_voice_yue_40703417 你中學有讀過？我學校嗰時直頭唔開
common_voice_yue_40703422 陣間食晏試下搵唔搵得返
common_voice_yue_40703447 真係緊急電話嘅話會連續打嚟幾次，但如果早午晚各一次中間隔成幾粒鐘都有機會係廣告電話
common_voice_yue_40703448 以前冇讀過西史，而家要理解國際局勢就一忽忽噉知啲唔知啲
common_voice_yue_40703449 個氣氛一啲都唔似喪禮
common_voice_yue_40703450 唔知，當我老細已經兩蚊車咗幾年，講嘢都加一堆表情符號，唔知係代表心境年輕定咩
common_voice_yue_40703457 夜晚呢程係好多人喎
common_voice_yue_40703458 真正現實生活非常滿足嘅現充係唔需要擺嘢上社交平台
common_voice_yue_40703460 屌老味又強檢
common_voice_yue_40703461 國民黨立委應該係反對佔多數，藍營其他都係多數反對
common_voice_yue_40703467 係瞓着咗覺
common_voice_yue_40703477 我整親膝頭哥
common_voice_yue_40703478 佢而家失憶
common_voice_yue_40703479 你把聲好好聽
common_voice_yue_40703487 我唔知佢點教
common_voice_yue_40703488 然後左右隔離中過晒嘅同事都彈出嚟話續晒期使乜再拮針
common_voice_yue_40703514 黐撚線公司
common_voice_yue_40703515 我都聽過
common_voice_yue_40703516 所以我哋想提醒你哋
common_voice_yue_40703528 我等咗呢一刻等咗好耐嘞
common_voice_yue_40703529 喺街上面怕醜
common_voice_yue_40703530 你哋寫嘅每隻字我都睇得明
common_voice_yue_40703532 你哋返屋企小心啦
common_voice_yue_40703538 情人節自己訂幾千蚊紮花上公司俾自己簽收嗰啲朋友
common_voice_yue_40703542 點解嘅？
common_voice_yue_40703549 呢個，喺中國農村係普遍現象
common_voice_yue_40703555 好叻，即刻裝
common_voice_yue_40703556 為咗人餵你食嘢你可以去到幾盡
common_voice_yue_40703557 點解你咁得意嘅？
common_voice_yue_40703558 我都冇睇
common_voice_yue_40703559 唔係親身被攻擊嘅，只係近年好似經常見到呢種留言，覺得啲人思路好奇怪
common_voice_yue_40703560 追女仔？
common_voice_yue_40703566 一國兩制喇嘛
common_voice_yue_40703567 真係好可惜
common_voice_yue_40703569 爭取自由仲要對血統先咩
common_voice_yue_40703570 似係，話二零一七年取消婚期
common_voice_yue_40703581 你威啊無被人話
common_voice_yue_40703582 的確唔係點管理，不過係類似
common_voice_yue_40703583 我而家準備喺巴士瞓覺，有排等
common_voice_yue_40703584 我媽當年有追
common_voice_yue_40703585 就可以係一場愉快嘅對話
common_voice_yue_40703591 你本命係邊個
common_voice_yue_40703592 返屋企瞓覺，下次再睇
common_voice_yue_40703594 閩南話睇極唔明
common_voice_yue_40703596 對唔住囉
common_voice_yue_40703598 呢啲時候就係考驗你對鐵路基建幾有信心
common_voice_yue_40703606 牆外中文網個個都喺度講
common_voice_yue_40703607 都係無視你會有趣啲
common_voice_yue_40703608 我認知中嘅講法就係扮工！
common_voice_yue_40703609 唔知點解
common_voice_yue_40703610 唔係阿爺話事？
common_voice_yue_40703623 要排隊填表等我蓋章確認咗先得
common_voice_yue_40703624 好有可能你同佢同時上線喎
common_voice_yue_40703660 永遠有啲唔信人嘅人，明明眼前都望到彌敦道就快開片，死都要開住個巴士預報話有車嚟緊，憑咩有自信架巴士嚟到可以有路走？
common_voice_yue_40703662 警察叔叔主動過嚟關心你安全
common_voice_yue_40703663 最近食過間德發粥品好味
common_voice_yue_40703664 早兩日出門口見到隔離屋阿生，問我係咪出街拍拖，噉我梗係冇拖拍啦
common_voice_yue_40705354 下次試下，我對奇怪食物嘅接受程度都幾高
common_voice_yue_40705356 大生意嚟
common_voice_yue_40705358 問就要問嘅
common_voice_yue_40705359 盡早遷移到去分散式嘅社交平台都係好事
common_voice_yue_40705363 應該當時就即刻遞紙巾啦
common_voice_yue_40705364 呢首歌原曲真係好鬼淒涼，但係呢個版本聽到我笑咗
common_voice_yue_40705365 姐姐你需要多啲
common_voice_yue_40705366 想講而家銀行收四點半，真係好鬼早
common_voice_yue_40705367 收收埋埋肯定係仲衰嘅
common_voice_yue_40705374 希望對到啦
common_voice_yue_40705375 一返到公司個個同事喺齊度
common_voice_yue_40705376 我冇考過
common_voice_yue_40705379 我社交平台剩係用嚟追星，開心
common_voice_yue_40705380 諗起以前台北捷運斬人嗰陣，啲人話危急時用背囊同滅火筒擋
common_voice_yue_40705381 唔會嘅但接近
common_voice_yue_40705384 麻煩醫生好好睇住佢
common_voice_yue_40705385 做咗五十下都冇話痠軟到郁唔到
common_voice_yue_40705386 呢輪個市唔好啊？外賣冇做喇咩
common_voice_yue_40705387 睇到反晒白眼。
common_voice_yue_40705388 你跟咗邊個要用
common_voice_yue_40705389 唔係廣播喎，講緊字幕有冇出粵文
common_voice_yue_40705390 做工程冇乜人有染頭髮整造型
common_voice_yue_40705392 我仔嗰時對於返大陸嘅印象就係好唔安全，廿年後個個飲喜茶食海底撈已經兩個世界
common_voice_yue_40705393 個電話咁聰明過濾晒得返健康內容先睇到？
common_voice_yue_40705394 佢封信個講法咪係應該效法當年用和談解決
common_voice_yue_40705395 青衣冇乜地方好玩
common_voice_yue_40705397 落地盤做，好似係
common_voice_yue_40705398 裝修都真係一門手藝嚟嘅
common_voice_yue_40705399 恰十九歲的我
common_voice_yue_40705400 諗起幾年前幾個人收錢去旅行，泰國被人周到運毒坐廿五年嗰單
common_voice_yue_40705401 地鐵站入面都可以危險到爆
common_voice_yue_40705402 我係廢柴
common_voice_yue_40705403 明明個話題係強檢
common_voice_yue_40705404 覺唔覺日頭係得我哋兩條友猛吹？
common_voice_yue_40705406 到時全世界復常，中國繼續喺度做核酸
common_voice_yue_40705407 但你唔好再講
common_voice_yue_40705408 係咩？我唔清楚喎
common_voice_yue_40705409 笑死，以為你想有幾個現任
common_voice_yue_40705410 實驗失敗
common_voice_yue_32306677 得閒再傾啦
common_voice_yue_32306681 就係噉改變咗我
common_voice_yue_32312092 我工資低，買唔起車 買唔起樓啊
common_voice_yue_32312093 廣東有三寶 陳皮老薑禾桿草
common_voice_yue_32312192 等我喺呢間學校讀書
common_voice_yue_32312408 之前睇咗香港一啲路人訪問
common_voice_yue_32312410 但係我唔知係邊位同我篇文章翻譯成英語嘅
common_voice_yue_32312840 我又冇得罪你哋！
common_voice_yue_32312925 近排佢關心嘅就只有一樣嘢
common_voice_yue_32312936 大佬，有個影！個影呀！
common_voice_yue_32312939 我有個建議
common_voice_yue_32312976 三科都肥佬咗啊我
common_voice_yue_32313171 典型嘅大陸網絡封鎖下嘅朋友仔
common_voice_yue_32333268 再騎呢啲都有啊
common_voice_yue_32333269 有啲乜好戯？
common_voice_yue_32333270 北人真係好犀利
common_voice_yue_32333277 所以先留餸畀你
common_voice_yue_32333278 係咪已經安裝描述檔
common_voice_yue_32333282 打出來字母
common_voice_yue_32333285 我諗佢高過你，高好多
common_voice_yue_32333287 頂，咁騎呢嘅
common_voice_yue_32333321 癱喺度唔忙㗎？我諗緊嘢呀
common_voice_yue_32333322 講一次就得
common_voice_yue_32333333 唔通出貓亦都冇錯？
common_voice_yue_32333335 你唔使咁串
common_voice_yue_32333366 自己判斷囉
common_voice_yue_32333369 人來人往
common_voice_yue_32333371 係嘅，冇辦法嘅
common_voice_yue_32333373 我確實冇聽過
common_voice_yue_32333380 崇優嗰邊精益求精，呢邊我哋大雜炒
common_voice_yue_32333451 仲有聲調都有差異
common_voice_yue_32395666 九十年代嘅時候咪爆發大饑荒嘅？
common_voice_yue_32395667 所以佢哋咪唔出嚟囉
common_voice_yue_32395669 記住唔好麻煩到你媽媽，唔好同你啲兄弟嘈交
common_voice_yue_32395670 其實仲有另一說，但係我未揾到確實證據，所以唔亂講先
common_voice_yue_32395752 我覺得如果大家有個監獄可以用於教學，效果會好過喺屋企自學
common_voice_yue_32395753 由得我輸啦，我投降
common_voice_yue_32395780 但係你成日將啲嘢講到一定噉
common_voice_yue_32260140 你起晒佢底呀？
common_voice_yue_32260154 冇問題㗎喇
common_voice_yue_32260155 我之所以會對你咁失望，因為你食嘢太大聲喇
common_voice_yue_32260164 就連手寫都做唔到
common_voice_yue_32260172 好慘啊我哋
common_voice_yue_32260174 落班翻去再去睇睇
common_voice_yue_32260175 我個年代淨係睇翡翠台
common_voice_yue_32260176 雖然我都唔鍾意
common_voice_yue_32260177 唔洗你講我本身都知
common_voice_yue_32260179 我諗住整多啲，再慢慢分享
common_voice_yue_32260182 你覺得可以就返屋企啦
common_voice_yue_32260206 噉打有冇錯
common_voice_yue_32260209 想食幾多就食幾多
common_voice_yue_32260210 你喺外國所以唔明
common_voice_yue_32260216 有時會轉唔切
common_voice_yue_32260217 話落緊雨其實即係就嚟落雨嘅意思
common_voice_yue_32260218 我問下，有邊個係做室內嘅
common_voice_yue_32260220 換咗個頭像
common_voice_yue_32260225 我都覺得嗰間好
